sim_idx,generation,individual_idx,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,distanza_minima_m,landato,durata_s,errore
1,0,0,5.3218681456678905,4.316635319256157,4.7171958398227645,-7.118423796584453,-1.2465812168988037,175.61202329461608,1.775,True,129.1,
2,0,1,5.283419105971059,5.358192915830862,3.2562272653510917,-8.84729843473103,0.9663841938606499,166.81769799274832,1.154,True,127.2,
3,0,2,4.931595360241994,5.46828483981249,3.8868283976546625,-10.409328947506562,2.4366782961266784,11.487106098751559,1.802,True,140.5,
4,0,3,5.4828935159777465,4.894993197366194,4.516175480170748,-9.518318223090922,5.765584195159226,160.7618018379956,1.757,True,141.2,
5,0,4,5.3351504912212855,3.5839161235559027,3.9334420074540684,-11.693373639489398,-0.7656840634596174,122.94881158364183,2.924,True,141.0,
6,0,5,5.234286467723452,5.902529197302631,3.651650716276304,-9.406782057755919,1.7564464902064634,34.104844635171425,1.044,True,120.3,
7,0,6,3.389764516006415,4.427114778677801,3.4538186981017684,-7.311302037222427,1.4972153509786459,149.88207529041074,0.163,True,125.5,
8,0,7,5.100795306006747,3.937099924146123,4.664519602790402,-6.366649497522387,1.0998270322413957,51.89905870744394,1.301,True,120.2,
9,0,8,5.047486511924927,3.4192574508279296,3.399816404950217,-11.948464111742961,4.295395020017107,119.67315418656578,0.775,True,123.8,
10,0,9,5.115496135879005,5.3421870930659034,3.91783155107668,-8.018811628329743,-0.8816240149787404,20.61541323647522,1.775,True,126.9,
11,0,10,5.005208885371415,4.413288618429398,4.130472212962378,-6.645007998087821,3.0777465600047265,99.64429211843925,1.2,True,134.4,
12,0,11,4.6776214822362405,3.9118502941878366,3.061635669135879,-8.942978275373463,-0.2833226174437664,73.53515587043451,2.279,True,125.7,
13,0,12,5.560209219804499,3.7018184575960222,3.116605483378132,-10.030312755846024,0.34875006213346893,119.14497265084111,2.26,True,132.9,
14,0,13,4.671096457023835,5.35169462731924,4.328627080654775,-9.155291969919507,4.512163077328277,30.055125583386705,2.015,True,132.5,
15,0,14,3.0681362194015813,3.2701435823269254,4.444718701192901,-8.766859388240288,-0.7098257677311857,90.18805951860544,3.412,True,131.0,
16,0,15,3.4569363081395053,5.088961125233208,3.8923125511480614,-9.332851417324623,0.4120967131830122,113.45086676139992,1.88,True,122.0,
17,0,16,4.085437831660171,3.262949757948303,3.2360118042410306,-5.266716348153398,5.268645525660856,125.94728408593492,1.924,True,119.8,
18,0,17,3.797609884378559,5.907529132043171,4.557501807931589,-6.9817686758870305,1.5948920171503094,49.00348113212863,1.351,True,124.0,
19,0,18,3.2891728864604977,5.7078071896315254,3.911552579667222,-10.583456446433388,0.44765299320522,104.25952240954128,2.16,True,135.1,
20,0,19,3.530318348817695,5.569842852277127,4.51703905967042,-6.963759308343443,1.4567443182008297,112.91559132643978,0.604,True,129.8,
21,1,2,5.283419105971059,5.358192915830862,3.2562272653510917,-8.84729843473103,0.9663841938606499,166.81769799274832,1.367,True,112.3,
22,1,3,5.283419105971059,5.358192915830862,3.2562272653510917,-8.84729843473103,0.9663841938606499,166.81769799274832,1.458,True,127.1,
23,1,4,5.293271296971285,5.692831746658915,3.4371663307814524,-9.335637526669586,1.148501766456963,75.28094049028837,1.795,True,124.6,
24,1,5,5.254050481052205,5.213714814104419,3.660376556692035,-8.772407503956677,0.9066543326603471,111.93533658357082,1.15,True,129.6,
25,1,6,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.0,True,121.9,
26,1,7,3.5481242180075308,5.453024996526077,4.650226532406381,-6.9187474426567555,1.478200982303875,120.5117041024574,0.87,True,130.8,
27,1,8,5.33034634449823,3.5851390415681244,3.2413532529016464,-8.754944866809053,0.7841371852504084,119.05222721591544,1.585,True,127.3,
28,1,9,4.697030870463563,5.550727783047213,3.0,-11.339029617787258,5.573907610281395,178.83589266941038,1.373,True,89.2,
29,1,10,4.952631679517858,4.406344579326428,3.7702293209796127,-10.056871287120904,2.73093910680113,139.11348240131434,1.405,True,120.3,
30,1,11,4.901437606876323,4.624734826193799,3.747718379082609,-12.0,2.2964257686983314,51.57900671855957,2.473,True,80.8,
31,1,12,4.929290427786452,3.234245042942053,4.546412940739158,-9.579297044416844,4.401579708332202,142.2403273986859,2.114,True,144.0,
32,1,13,5.3390460633484444,5.025422155268009,4.142163319864927,-11.073333313786327,4.734532395679509,135.34483027202793,1.84,True,140.0,
33,1,14,5.327544064324532,6.0,3.651650716276304,-9.406663907427939,1.7564464902064634,34.104844635171425,0.957,True,134.2,
34,1,15,5.234286467723452,5.902529197302631,3.651650716276304,-9.406782057755919,2.5246759356330406,34.104844635171425,1.057,True,116.9,
35,1,16,4.056107574877441,4.942306201835077,4.448368526963766,-7.107526791495569,3.5826753855780593,119.72799462535481,1.618,True,159.4,
36,1,17,4.125470512197636,4.279087686525564,3.64099985206681,-5.7362860411219705,1.938344902723269,111.92035388104695,0.792,True,150.9,
37,1,18,3.885936182750737,4.424310686168557,3.5722346596405243,-6.499640840073125,3.3403626174057504,123.22875528217466,1.466,True,146.5,
38,1,19,3.7538500207852845,4.4209855818856925,4.169512943324401,-6.815486160914967,2.950117133003129,127.39341508023946,1.696,True,151.7,
39,2,2,5.29391596496893,5.415573235574401,3.5109279850341153,-9.489541593593081,2.0351621463865204,30.663080982289387,1.316,True,121.0,
40,2,3,5.263958698683154,5.693443547245586,3.432418561708328,-9.106780873828166,2.403561487319389,164.00306360275277,1.016,True,120.8,
41,2,4,5.271262770329615,5.559473928742053,3.6274959844672963,-8.973758371853773,1.3307446130030867,180.0,1.174,True,124.6,
42,2,5,5.27949102206388,5.430511205378499,3.368016333220475,-9.293148713705698,0.8918645600640827,25.671393506106416,1.447,True,118.4,
43,2,6,3.5481242180075308,5.453024996526077,4.650226532406381,-6.9187474426567555,1.478200982303875,120.5117041024574,0.957,True,121.9,
44,2,7,5.327544064324532,6.0,3.651650716276304,-9.406663907427939,1.7564464902064634,34.104844635171425,1.312,True,125.7,
45,2,8,3.5481242180075308,5.453024996526077,4.149567646763925,-6.9187474426567555,1.478200982303875,136.33862191906917,1.048,True,126.9,
46,2,9,3.389764516006415,4.427114778677801,3.4538186981017684,-7.311302037222427,1.4972153509786459,149.88207529041074,0.305,True,119.1,
47,2,10,5.327544064324532,6.0,3.651650716276304,-9.406663907427939,1.7564464902064634,63.643869750198505,1.562,True,115.8,
48,2,11,3.5481242180075308,5.453024996526077,4.650226532406381,-6.9187474426567555,1.478200982303875,120.5117041024574,0.802,True,129.0,
49,2,12,4.637867213783135,5.199847761355105,3.4706912761878264,-7.225017697757247,-1.4279260728668204,149.18166067994167,2.471,True,90.7,
50,2,13,5.5979603247387635,5.162879558591728,3.622575075206265,-7.251735178388884,0.7674248949205673,112.80247182139186,0.48,True,124.1,
51,2,14,3.277020227487532,4.278148183175037,3.6911725413299497,-6.628222280765806,1.9182865290926099,139.18648735534265,0.343,True,121.4,
52,2,15,3.8428571759062873,4.269052694210103,3.680989070146099,-7.024415689624241,1.7728452459510287,143.03535659018104,0.689,True,123.0,
53,2,16,4.916492505468408,4.325010448521663,3.330716892105078,-9.830043276106162,1.6451116687216196,157.88530688673882,0.0,True,74.1,
54,2,17,5.189279183586783,4.747960505366097,3.438211222346646,-9.998563050360666,2.0979756094884223,144.8556093373841,1.166,True,123.0,
55,2,18,3.5481242180075308,5.453024996526077,4.650226532406381,-6.9187474426567555,1.478200982303875,120.5117041024574,0.76,True,136.9,
56,2,19,5.327544064324532,6.0,3.651650716276304,-9.406663907427939,1.7564464902064634,34.104844635171425,0.951,True,130.0,
57,3,2,3.5546349051251664,4.268010085212951,3.679108128387344,-6.6095262554539564,1.74214385162686,139.75988534245695,0.081,True,151.1,
58,3,3,3.409770138949793,4.268841598028199,3.6830484673288324,-6.67247387269036,1.7326296475806242,143.12571833771287,0.365,True,142.1,
59,3,4,6.0,5.421878613761825,3.6867389379749635,-7.128567428315896,1.6884181202630142,180.0,0.723,True,150.0,
60,3,5,4.020989945018089,4.9199516236161704,3.2885469481479817,-7.2302288132992,1.3890527765689975,111.79993428961555,1.059,True,125.1,
61,3,6,4.135552753132627,5.326302205581976,3.870784115261148,-6.901709726485292,1.1029936679574541,119.97054793671674,0.113,True,134.1,
62,3,7,5.7275608579854325,5.310176640607527,4.809803940148675,-7.0388233846228685,1.521159491629764,114.69081182668496,0.983,True,128.9,
63,3,8,3.402875465464481,5.536016460322888,3.422985453834292,-7.513404457870044,1.4791986275809703,137.20087689431097,0.309,True,151.0,
64,3,9,3.4326182556144773,5.678372394904116,3.058727796725925,-7.322251774975131,1.4772510141812127,149.07965194010282,0.639,True,126.8,
65,3,10,6.0,5.126980324447187,3.637237017594499,-7.318297181111645,1.4037011730998337,127.78789393215983,0.243,True,135.2,
66,3,11,4.681484170632315,4.976410169269951,3.6650517618606697,-7.235334937132909,0.8850417144606448,145.2102527470921,1.215,True,126.3,
67,3,12,3.8334534473247315,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.928,True,143.8,
68,3,13,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.986,True,119.4,
69,3,14,5.5979603247387635,5.162879558591728,3.622575075206265,-7.251735178388884,0.7674248949205673,112.80247182139186,0.519,True,118.0,
70,3,15,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.15,True,132.6,
71,3,16,4.8831619972015945,5.3631607439689954,3.7466882268947694,-9.482275391376126,1.7177398868088218,74.67891027184179,1.782,True,115.6,
72,3,17,5.395153009386698,5.154241753437387,3.3034333645843414,-9.70954716178504,1.623676004813603,36.97239980009182,0.568,True,131.5,
73,3,18,3.4770743522089904,4.469239327145054,3.6190564712514397,-6.566554994338282,0.9437312502280677,128.59021900821102,0.525,True,131.9,
74,3,19,5.5217385172051365,5.12228682234641,3.6501113338048685,-6.963664928490084,2.2537889331379968,133.36501166005235,,,240.3,sim_timeout
75,4,2,3.4085934057072453,6.0,3.554425065785697,-7.108546489907759,1.4097235041318894,164.62008839657432,0.0,True,128.7,
76,4,3,3.271616609610528,3.911133218366756,3.434546447778022,-7.5307330700914745,1.58404300340145,152.27115508700024,0.487,True,120.5,
77,4,4,3.5470012645543254,5.865887336429263,3.445673930314939,-7.221893338352457,1.4964740133650927,149.4715788185234,0.0,True,126.5,
78,4,5,3.0,3.0192630309949164,3.4754316699225316,-5.0,1.4128998367694907,81.88324870832236,0.308,True,132.2,
79,4,6,5.835746249998635,5.8417262050394605,4.111355246984306,-5.0,1.4332057179461266,158.7588175370432,0.233,True,93.7,
80,4,7,6.0,5.313197607900152,3.6374715985053756,-7.375450264979916,1.4713086902604027,149.43022292745187,0.939,True,120.9,
81,4,8,3.5546349051251664,4.268010085212951,3.679108128387344,-6.6095262554539564,0.008225727853963027,139.75988534245695,1.503,True,128.2,
82,4,9,3.5546349051251664,4.268010085212951,3.679108128387344,-6.6095262554539564,1.74214385162686,139.75988534245695,0.141,True,129.1,
83,4,10,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.371,True,125.0,
84,4,11,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.852,True,115.0,
85,4,12,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.768,True,118.1,
86,4,13,3.405161365435292,5.795725581569343,3.4148756029537006,-7.390591481135314,1.4727771321705478,160.52106273709927,0.834,True,119.3,
87,4,14,4.844953224585179,5.066017894107244,3.3184806188140565,-7.17434753550225,1.6592003509613131,157.4086527578954,0.383,True,135.6,
88,4,15,3.190636028803276,4.35775094951242,3.4128138214899963,-10.43926333539109,1.6893705343399166,143.47718427711646,0.922,True,143.7,
89,4,16,3.6964188514687617,5.637454612759195,3.960420375084128,-7.171462744802965,1.1084618369412174,132.2788283633061,0.796,True,137.7,
90,4,17,3.9333187689510436,5.2839479692684215,3.3969102548856402,-7.001784155358227,1.1929118446529647,169.75998769149862,0.636,True,129.5,
91,4,18,5.254695129490149,5.245290780601938,3.7326894800409978,-5.7560602028129475,1.7743418359351861,162.8663694674229,0.266,True,127.0,
92,4,19,3.2139833936585056,4.197527777090968,3.3737395601151277,-7.897159599006308,1.6065176694311198,145.2359022523649,1.014,True,136.6,
