sim_idx,generation,individual_idx,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,distanza_minima_m,landato,durata_s,errore
1,0,0,5.0470555897444305,3.161463056406668,3.4407197455452225,-10.709397325109311,-0.5927527913197572,146.17701119803925,2.929,True,145.6,
2,0,1,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.014,True,143.4,
3,0,2,5.4727247882922345,3.6412888901252867,4.482934104469419,-7.590418567872234,5.419258068201336,41.74347394915539,2.549,True,122.0,
4,0,3,5.397375385860249,4.554495110558142,3.463111249634135,-10.838672047314788,1.9823117479823509,104.89043531075758,1.483,True,112.8,
5,0,4,3.5530139622854393,3.044684750280697,3.9422664577809217,-6.902296702717169,5.348803934188346,112.59612103238352,2.446,True,69.4,
6,0,5,5.7513677176428075,5.594070753281325,3.436285746499976,-5.937107984832299,3.8460154909700304,50.01575225380701,1.13,True,156.2,
7,0,6,5.391130659550393,5.59566513853121,3.5988757912749145,-8.310705411787922,-1.4281055470128248,104.98291382719044,1.92,True,152.3,
8,0,7,3.7137191988888527,5.294890938310945,3.347263272350805,-9.810804206244631,-1.8842041856794642,5.859345889186088,3.542,True,122.5,
9,0,8,4.490105525386022,4.404937603279729,3.2553806457849555,-10.197062465633334,-1.974551125653507,68.59219460684744,3.222,True,141.6,
10,0,9,4.7276192521109,4.281896313848851,4.670204694617139,-7.684561240128671,0.12867129609019834,145.98398003725495,2.162,True,117.7,
11,0,10,4.498460250909051,5.276430963011603,4.132178172653438,-8.937917469099187,1.1692355553393874,4.00235182557819,1.453,True,120.0,
12,0,11,4.408052364503888,4.870675206474317,4.892226842021484,-8.952717438841592,1.8851312246399772,93.44072591630919,2.025,True,130.4,
13,0,12,4.2257729399763475,4.736387156553741,3.1407013465514506,-8.581313181577432,2.8811586264138587,133.89823931753816,0.567,True,121.7,
14,0,13,4.289490961302739,3.908406398167153,3.0117800666349392,-6.704647208978299,-1.3793922384113886,88.19784677860447,2.167,True,85.8,
15,0,14,3.9130832903473687,5.522466486529083,4.900951724500168,-9.767877948859319,5.18214631141006,60.7552291098616,1.925,True,145.0,
16,0,15,5.43633633154073,5.396530794177342,4.310570354022158,-10.399075816570763,-0.8986042820618527,76.38680500686203,2.482,True,118.8,
17,0,16,3.4546162590579206,5.619818846364154,3.358253514975603,-11.78793736871371,2.4739974170693237,77.1851256033635,1.41,True,129.2,
18,0,17,5.575792264678062,3.482494126586983,3.720707398783615,-7.516430442171937,5.448634796894081,47.124183976277955,2.62,True,121.7,
19,0,18,5.06429524074554,3.4471579570660875,4.480309946842152,-9.947731018852583,-0.05003916343674142,41.36785881208507,2.289,True,122.8,
20,0,19,4.1119534955026955,3.9856652624434425,4.225283343636302,-8.186992198658547,3.9971448391272695,53.091771376687234,2.317,True,131.3,
21,1,2,4.09018407005054,3.678086391464166,4.173076491844212,-8.536102122661411,0.5241344115469302,3.42277833541322,1.726,True,140.1,
22,1,3,4.307631715907208,4.960737240121592,4.138323777356933,-8.900769819702553,4.64145143247794,46.21084335996196,2.557,True,139.2,
23,1,4,5.658869699211947,5.595958454898451,3.5087719676748184,-7.669250444732055,4.776068717114096,116.7112888360875,1.634,True,144.1,
24,1,5,5.360816367543163,5.595887430359908,3.4635096068550433,-8.536005596312252,-2.0,100.31730793228738,2.662,True,110.0,
25,1,6,3.3979057719280186,4.677745656806546,4.225813187506035,-8.949730439399168,2.08654744960523,34.49122549785043,1.126,True,130.8,
26,1,7,4.444766948708296,5.346609654126208,4.864945811082281,-8.93680493553798,1.4909381236569685,7.580398194686104,1.195,True,128.7,
27,1,8,5.280905594299992,5.342595483847222,3.5626283683192055,-8.416050942764898,-0.3813106017793344,121.75300224437437,1.807,True,111.7,
28,1,9,4.815299842656669,5.194816834203651,4.058487422188898,-8.136810226351747,-0.2692266913296668,127.62669630284368,1.772,True,124.5,
29,1,10,3.4887944948666085,3.82339919661905,4.225681677952684,-7.838974740265375,0.8944281973578587,123.45440057379349,1.651,True,124.7,
30,1,11,4.151350791444918,4.169535515380944,4.2934514699252615,-6.885740742980736,3.0767361122260652,121.66069513610927,1.575,True,139.9,
31,1,12,5.360157655884846,3.926525905615877,4.502396555445404,-10.34054212782933,1.9519790064218077,42.39253379484549,1.397,True,130.2,
32,1,13,5.868923683778132,3.633824414914072,4.434583773155086,-10.109175479873919,-0.3536891179433252,41.34103503259594,2.483,True,93.8,
33,1,14,4.830788537275493,5.4564656781457295,3.652911983601207,-6.0974760967924375,1.0232427360066683,43.239766399139526,0.0,True,124.8,
34,1,15,4.540894744548432,5.654816085238331,3.6561785257043797,-8.283596248853012,4.224946150055025,0.0,1.298,True,143.3,
35,1,16,4.498460250909051,5.276430963011603,4.132178172653438,-8.937917469099187,1.1692355553393874,4.00235182557819,1.408,True,124.1,
36,1,17,4.498460250909051,5.276430963011603,4.132178172653438,-8.937917469099187,1.1692355553393874,4.00235182557819,1.106,True,133.1,
37,1,18,4.498460250909051,5.276430963011603,3.9056061822293207,-9.155926878180324,1.1692355553393874,4.00235182557819,1.424,True,125.3,
38,1,19,5.397375385860249,4.554495110558142,3.463111249634135,-10.838672047314788,1.9823117479823509,104.89043531075758,2.071,True,123.2,
39,2,2,4.548965132010704,5.937442777148983,3.5122338315713977,-8.84684145603109,0.8502749483205496,24.401680882175818,1.342,True,129.7,
40,2,3,4.456282910930117,4.639727847647058,3.440488958624521,-8.707367637587046,2.6824564656566228,119.41692840512678,1.042,True,120.3,
41,2,4,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,0.56,True,137.3,
42,2,5,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.084,True,143.0,
43,2,6,4.320311436508568,5.367675749947604,3.3204717531978165,-8.75294986334601,1.8153803719901216,180.0,1.139,True,125.3,
44,2,7,4.304820043625018,4.660244933126713,3.424020541027987,-8.9558518479902,3.0807793253031788,33.91256415228876,0.919,True,132.2,
45,2,8,5.770034994081169,3.8297231933913185,4.020747005976157,-5.770751148221699,2.103763641836255,44.09362819238336,1.152,True,149.4,
46,2,9,4.498460250909051,5.276430963011603,4.132178172653438,-8.937917469099187,1.1692355553393874,4.00235182557819,1.466,True,119.5,
47,2,10,5.594669283175364,3.974274677621564,4.5558784042414775,-5.61582085735863,2.903975258811064,32.24841723317262,1.366,True,139.1,
48,2,11,4.734008367370368,3.8996608284472156,4.454549333965193,-5.6202760069193385,2.345684006774743,112.84036202453078,1.03,True,151.1,
49,2,12,5.539864088012568,4.218312362686893,4.780493429398885,-8.204531586233148,3.9489947476240315,131.22396094899526,2.048,True,136.1,
50,2,13,5.481158974511037,6.0,3.353788730587674,-6.5619951707488795,4.356712119812194,89.05756320797953,1.488,True,127.0,
51,2,14,4.09018407005054,3.678086391464166,4.173076491844212,-8.536102122661411,0.5241344115469302,3.42277833541322,1.776,True,131.9,
52,2,15,4.09018407005054,3.678086391464166,4.173076491844212,-8.536102122661411,0.5241344115469302,3.42277833541322,1.711,True,121.4,
53,2,16,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.285,True,130.3,
54,2,17,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.065,True,148.2,
55,2,18,5.228289659383191,3.6911336675131023,4.137851047744607,-8.165162994490617,4.211228614472014,38.92907649028542,2.3,True,132.4,
56,2,19,4.524357981178829,3.545968028937675,3.5320214594987314,-5.886997455993287,4.662812688569426,7.212091363665705,1.815,True,148.4,
57,3,2,4.830788537275493,5.4564656781457295,3.0275330898656443,-6.0974760967924375,1.0232427360066683,43.239766399139526,0.401,True,125.5,
58,3,3,4.830788537275493,5.4564656781457295,3.652911983601207,-6.0974760967924375,0.6734676402670627,24.727382442342172,0.0,True,130.5,
59,3,4,4.982458664149334,4.981121798018901,3.69967491075381,-5.622427792757652,0.8642061662234402,38.58875047201771,0.0,True,106.6,
60,3,5,4.335772826024492,5.431722338313067,3.6245909924564335,-5.361357178678608,0.6013134896585488,37.57680774789991,0.0,True,117.7,
61,3,6,4.548965132010704,5.937442777148983,3.5122338315713977,-8.84684145603109,0.8502749483205496,24.401680882175818,1.199,True,121.8,
62,3,7,4.734008367370368,3.8996608284472156,4.454549333965193,-5.6202760069193385,2.345684006774743,112.84036202453078,0.91,True,138.6,
63,3,8,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.202,True,144.1,
64,3,9,5.770034994081169,3.8297231933913185,4.639509123186004,-5.770751148221699,2.103763641836255,44.09362819238336,1.241,True,145.9,
65,3,10,5.7217532855058435,5.175834721473004,4.831837319730135,-5.848412124666491,1.9360744652509652,43.47557597162209,0.498,True,127.0,
66,3,11,5.419280571469158,4.95666045048802,3.5408432847430173,-6.091351377010903,1.107239938379767,43.81681335969279,0.125,True,112.8,
67,3,12,4.59095477505468,4.1999633889210175,3.4128355645066244,-7.856200899811068,2.169599426923148,42.80460828180186,0.462,True,136.2,
68,3,13,5.2443075446241565,4.751864452763363,3.366766541622587,-6.982661667324238,2.5486187747375952,38.614755666382905,0.152,True,130.8,
69,3,14,4.909616865743815,3.9865573049085925,4.070115042036801,-7.744635480438749,1.1259965577749473,43.230374871917185,1.214,True,129.6,
