rank,pred_dist_m,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,obs_z
1,0.0,4.8721,5.261,3.0,-5.4432,1.604,49.8055,0.0
2,0.238,4.7745,5.0592,3.7551,-5.4718,1.3452,84.3996,0.0
3,0.1466,4.9171,4.8222,3.2248,-5.5182,1.2959,104.9188,0.0
4,0.0,4.6356,5.1705,3.2268,-5.6,0.3256,75.6733,0.0
5,0.0376,4.888,4.6815,3.178,-5.6285,1.1594,31.307,0.0
6,0.0,5.1983,5.256,3.1303,-5.4838,2.2342,81.9251,0.0
7,0.0043,4.8151,5.2447,3.4605,-5.2783,1.8751,57.9373,0.0
8,0.0,4.7772,5.3143,3.4022,-5.4611,1.6624,96.9773,0.0
9,0.0,4.891,5.2262,3.2062,-5.4204,0.7245,35.7566,0.0
10,0.0,4.8518,4.8502,3.2485,-5.5638,1.644,75.9388,0.0
11,0.0,4.8648,5.257,3.169,-5.0,1.5139,83.2542,0.0
12,0.0,5.126,5.3211,3.3143,-5.3808,1.2586,54.4366,0.0
13,0.0802,4.5274,5.3098,3.2116,-5.3283,1.1832,60.9137,0.0
14,0.0,4.8438,5.1705,3.0,-5.4208,0.6508,66.8527,0.0
15,0.0,4.8762,5.3081,3.3725,-5.5095,1.6055,30.9778,0.0
16,0.0,4.8761,5.5645,3.295,-5.4424,1.7891,53.7941,0.0
17,0.0,4.8734,5.2516,3.392,-5.5572,1.1142,77.5284,0.0
18,0.0,4.8451,5.3888,3.307,-5.471,0.4704,62.9437,0.0
19,0.0,4.8544,5.2215,3.2057,-5.4261,2.2046,54.4884,0.0
20,0.0,4.7553,5.415,3.0286,-5.4582,1.4348,72.4917,0.0
21,0.0,4.9992,5.2244,3.2507,-5.8412,1.6171,88.2326,0.0
22,0.0912,4.6539,5.1202,3.4186,-5.3587,1.9262,75.6348,0.0
23,0.0,4.8837,5.0775,3.2023,-5.4671,1.118,53.4417,0.0
24,0.0,4.929,5.3834,3.1948,-5.4242,1.1954,66.1184,0.0
25,0.0,4.8252,5.2885,3.1659,-5.4617,1.5863,98.8646,0.0
26,0.0,4.7981,5.2693,3.1885,-5.4998,1.4987,41.6234,0.0
27,0.0,4.771,5.2312,3.3429,-5.5443,1.3243,62.4012,0.0
28,0.0,4.7331,5.3857,3.1164,-5.4842,1.3371,55.1477,0.0
29,0.0,4.8553,5.2893,3.162,-5.4276,1.3555,25.6704,0.0
30,0.0,4.8449,5.208,3.1239,-5.4562,1.5899,70.994,0.0
31,0.0,4.8654,5.1955,3.3195,-5.2891,1.6406,50.2937,0.0
32,0.0,4.8836,5.0592,3.2983,-5.5676,1.6412,67.7903,0.0
33,0.0,4.7795,5.5053,3.2412,-5.5099,1.6726,66.7472,0.0
34,0.0,4.6802,5.2009,3.2668,-5.2652,1.841,70.644,0.0
35,0.0,4.6395,5.2374,3.2234,-5.4952,1.6163,53.187,0.0
36,0.0,4.8817,5.299,3.2982,-5.5171,1.0709,51.1752,0.0
37,0.0,5.0215,5.2637,3.2067,-5.6677,1.5026,55.9514,0.0
38,0.0,4.8848,5.1299,3.2384,-5.4447,1.5799,82.605,0.0
39,0.0,4.8809,5.2333,3.3807,-5.8112,1.6358,71.3341,0.0
40,0.0,4.8121,5.188,3.2177,-5.5702,0.23,65.8658,0.0
41,0.0,4.711,5.3213,3.1663,-5.3699,1.4025,86.9946,0.0
42,0.0,4.8413,5.2135,3.1497,-5.3279,1.5892,55.495,0.0
43,0.0,4.9708,5.2955,3.2968,-5.3946,1.6092,64.1226,0.0
44,0.0,4.8845,4.7225,3.3036,-5.5983,1.6353,98.5565,0.0
45,0.0,4.6564,5.0842,3.3543,-5.625,1.5721,69.3459,0.0
46,0.0,4.8404,5.2769,3.5471,-5.6712,1.7332,59.173,0.0
47,0.0,4.8139,5.208,3.2096,-5.1351,0.8916,52.6691,0.0
48,0.0,4.9531,5.2905,3.285,-5.0,1.3668,48.7966,0.0
49,0.0,4.7814,5.3005,3.2356,-5.3837,1.1517,72.8537,0.0
50,0.0,4.6724,5.2147,3.3667,-5.3027,1.9293,61.569,0.0
