rank,pred_dist_m,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,obs_z,distanza_reale_m,landato,collisione_reale,errore_surrogato_m,timeout,durata_s,errore
27,0.0,4.771,5.2312,3.3429,-5.5443,1.3243,62.4012,0.0,0.0,True,True,0.0,False,126.1,
28,0.0,4.7331,5.3857,3.1164,-5.4842,1.3371,55.1477,0.0,0.305,True,False,0.305,False,129.3,
29,0.0,4.8553,5.2893,3.162,-5.4276,1.3555,25.6704,0.0,0.177,True,False,0.177,False,141.3,
30,0.0,4.8449,5.208,3.1239,-5.4562,1.5899,70.994,0.0,0.577,True,False,0.577,False,139.0,
31,0.0,4.8654,5.1955,3.3195,-5.2891,1.6406,50.2937,0.0,0.0,True,True,0.0,False,148.4,
32,0.0,4.8836,5.0592,3.2983,-5.5676,1.6412,67.7903,0.0,0.43,True,False,0.43,False,129.0,
33,0.0,4.7795,5.5053,3.2412,-5.5099,1.6726,66.7472,0.0,0.072,True,False,0.072,False,146.6,
34,0.0,4.6802,5.2009,3.2668,-5.2652,1.841,70.644,0.0,0.678,True,False,0.678,False,137.8,
35,0.0,4.6395,5.2374,3.2234,-5.4952,1.6163,53.187,0.0,0.287,True,False,0.287,False,125.0,
36,0.0,4.8817,5.299,3.2982,-5.5171,1.0709,51.1752,0.0,0.0,True,True,0.0,False,123.4,
37,0.0,5.0215,5.2637,3.2067,-5.6677,1.5026,55.9514,0.0,0.129,True,False,0.129,False,127.6,
38,0.0,4.8848,5.1299,3.2384,-5.4447,1.5799,82.605,0.0,0.582,True,False,0.582,False,125.5,
39,0.0,4.8809,5.2333,3.3807,-5.8112,1.6358,71.3341,0.0,0.432,True,False,0.432,False,129.8,
40,0.0,4.8121,5.188,3.2177,-5.5702,0.23,65.8658,0.0,0.612,True,False,0.612,False,113.9,
41,0.0,4.711,5.3213,3.1663,-5.3699,1.4025,86.9946,0.0,0.39,True,False,0.39,False,148.5,
42,0.0,4.8413,5.2135,3.1497,-5.3279,1.5892,55.495,0.0,0.208,True,False,0.208,False,131.6,
43,0.0,4.9708,5.2955,3.2968,-5.3946,1.6092,64.1226,0.0,0.279,True,False,0.279,False,126.8,
44,0.0,4.8845,4.7225,3.3036,-5.5983,1.6353,98.5565,0.0,0.305,True,False,0.305,False,146.5,
45,0.0,4.6564,5.0842,3.3543,-5.625,1.5721,69.3459,0.0,0.52,True,False,0.52,False,128.2,
46,0.0,4.8404,5.2769,3.5471,-5.6712,1.7332,59.173,0.0,0.021,True,False,0.021,False,136.7,
47,0.0,4.8139,5.208,3.2096,-5.1351,0.8916,52.6691,0.0,0.233,True,False,0.233,False,139.5,
48,0.0,4.9531,5.2905,3.285,-5.0,1.3668,48.7966,0.0,0.229,True,False,0.229,False,126.6,
49,0.0,4.7814,5.3005,3.2356,-5.3837,1.1517,72.8537,0.0,0.571,True,False,0.571,False,129.9,
50,0.0,4.6724,5.2147,3.3667,-5.3027,1.9293,61.569,0.0,0.021,True,False,0.021,False,148.8,
