rank,pred_dist_m,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,obs_z,distanza_reale_m,landato,collisione_reale,errore_surrogato_m,timeout,durata_s,errore
1,0.0,4.8721,5.261,3.0,-5.4432,1.604,49.8055,0.0,0.121,True,False,0.121,False,119.2,
2,0.238,4.7745,5.0592,3.7551,-5.4718,1.3452,84.3996,0.0,0.918,True,False,0.68,False,156.9,
3,0.1466,4.9171,4.8222,3.2248,-5.5182,1.2959,104.9188,0.0,0.467,True,False,0.32,False,121.5,
4,0.0,4.6356,5.1705,3.2268,-5.6,0.3256,75.6733,0.0,0.717,True,False,0.717,False,135.6,
5,0.0376,4.888,4.6815,3.178,-5.6285,1.1594,31.307,0.0,0.245,True,False,0.207,False,114.3,
6,0.0,5.1983,5.256,3.1303,-5.4838,2.2342,81.9251,0.0,0.105,True,False,0.105,False,139.0,
7,0.0043,4.8151,5.2447,3.4605,-5.2783,1.8751,57.9373,0.0,0.0,True,True,0.004,False,124.2,
8,0.0,4.7772,5.3143,3.4022,-5.4611,1.6624,96.9773,0.0,0.383,True,False,0.383,False,144.8,
9,0.0,4.891,5.2262,3.2062,-5.4204,0.7245,35.7566,0.0,0.136,True,False,0.136,False,133.0,
10,0.0,4.8518,4.8502,3.2485,-5.5638,1.644,75.9388,0.0,0.652,True,False,0.652,False,132.1,
11,0.0,4.8648,5.257,3.169,-5.0,1.5139,83.2542,0.0,0.0,True,True,0.0,False,118.7,
12,0.0,5.126,5.3211,3.3143,-5.3808,1.2586,54.4366,0.0,0.0,True,True,0.0,False,128.2,
13,0.0802,4.5274,5.3098,3.2116,-5.3283,1.1832,60.9137,0.0,0.267,True,False,0.187,False,117.6,
14,0.0,4.8438,5.1705,3.0,-5.4208,0.6508,66.8527,0.0,0.697,True,False,0.697,False,149.7,
15,0.0,4.8762,5.3081,3.3725,-5.5095,1.6055,30.9778,0.0,0.0,True,True,0.0,False,131.0,
16,0.0,4.8761,5.5645,3.295,-5.4424,1.7891,53.7941,0.0,0.354,True,False,0.354,False,115.3,
17,0.0,4.8734,5.2516,3.392,-5.5572,1.1142,77.5284,0.0,0.527,True,False,0.527,False,119.4,
18,0.0,4.8451,5.3888,3.307,-5.471,0.4704,62.9437,0.0,0.322,True,False,0.322,False,123.9,
19,0.0,4.8544,5.2215,3.2057,-5.4261,2.2046,54.4884,0.0,0.502,True,False,0.502,False,144.6,
20,0.0,4.7553,5.415,3.0286,-5.4582,1.4348,72.4917,0.0,0.315,True,False,0.315,False,116.9,
21,0.0,4.9992,5.2244,3.2507,-5.8412,1.6171,88.2326,0.0,0.013,True,False,0.013,False,124.0,
22,0.0912,4.6539,5.1202,3.4186,-5.3587,1.9262,75.6348,0.0,0.693,True,False,0.602,False,138.2,
23,0.0,4.8837,5.0775,3.2023,-5.4671,1.118,53.4417,0.0,0.171,True,False,0.171,False,115.7,
24,0.0,4.929,5.3834,3.1948,-5.4242,1.1954,66.1184,0.0,0.607,True,False,0.607,False,141.1,
25,0.0,4.8252,5.2885,3.1659,-5.4617,1.5863,98.8646,0.0,0.0,True,True,0.0,False,132.5,
26,0.0,4.7981,5.2693,3.1885,-5.4998,1.4987,41.6234,0.0,0.0,True,True,0.0,False,136.0,
