sim_idx,generation,individual_idx,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,distanza_minima_m,landato,durata_s,errore
1,0,0,4.409019733094297,4.342965894471368,3.248113612199311,-6.716050129667232,5.783907638156655,14.943563503187864,1.988,True,136.7,
2,0,1,3.9129245793405527,5.388158049909853,3.802181556213967,-5.1218351347709286,-0.10625234198674427,100.32525368745924,0.121,True,117.0,
3,0,2,4.579631488410577,3.9581725626038997,3.4843089447704028,-8.16754755037007,0.7063302059789427,145.3316174460064,1.616,True,132.5,
4,0,3,4.093119924540943,3.529051987519445,4.555401102630933,-7.225921713189255,0.31862770498066784,1.6444714504916647,1.27,True,107.8,
5,0,4,5.787452274355916,4.9001608031825254,4.0136613174215015,-8.435553618956193,1.0074462054339364,88.7815890171244,1.305,True,118.0,
6,0,5,4.93892528292782,5.907154957658673,3.7091894131355785,-6.626712737610526,3.9044157380179074,68.97658184826705,1.774,True,73.9,
7,0,6,5.133189188058214,3.06950966081418,4.916617834461879,-6.691430276477014,0.09178912442760456,81.30803196201606,1.224,True,127.3,
8,0,7,4.962526797968556,3.8247013454334304,3.794518473731099,-6.831172362737506,3.3123260805579893,93.40894132099481,1.249,True,138.0,
9,0,8,3.8086520305065505,3.446121822499946,4.272589382216436,-5.822645404037408,0.21205246122934174,22.710869672630526,0.6,True,122.9,
10,0,9,3.649480930603695,5.109631878959862,4.382384164365065,-10.230113421882788,-1.0084655042278854,169.81484654546168,3.236,True,131.6,
11,0,10,3.360899785200843,5.877299410675179,4.796294381196909,-5.487739245135141,1.9387625508502904,10.596477652912014,0.735,True,142.3,
12,0,11,3.450950496310117,5.414605131800885,3.6510609228347444,-6.528037280194464,1.211793602825737,46.970940432617816,1.256,True,123.1,
13,0,12,5.217110387119052,5.126994823500504,4.767983517729634,-7.272682132316514,1.180654211091741,19.956897823837675,1.203,True,133.4,
14,0,13,3.1714681280900137,3.6975022102228476,4.165309396566538,-5.797798052127011,3.2478385394614344,96.7237096284281,1.349,True,136.3,
15,0,14,3.605194619784889,5.9484415701998135,3.8876716873476402,-9.11694360661352,-0.4728740195850092,161.33300918030042,2.778,True,91.3,
16,0,15,4.977487391846763,3.3378033069486643,3.4651494045659263,-11.158788899502888,-0.7491746321880592,36.25812661696563,2.362,True,136.4,
17,0,16,4.151251966910036,3.642734366333119,4.834388593330466,-6.687010085552119,5.444785635945786,35.97535714644043,2.576,True,68.7,
18,0,17,5.435826009423494,4.263885101471688,4.862499925011816,-10.108734839712271,2.9180580854328326,32.607170322715916,0.882,True,141.4,
19,0,18,3.0611283268817364,4.552044326754711,3.2034716746631298,-9.301627279427922,2.103482103600843,125.13926810765714,0.817,True,130.8,
20,0,19,4.7851481424292,5.871325491063052,4.425138998071398,-8.828979365559547,-0.5644333980320786,52.110110030330326,2.113,True,124.7,
21,1,2,3.446157222179541,5.370273127017468,4.780971138117769,-7.156269384931656,1.2208580969351672,8.966411497734367,1.159,True,119.5,
22,1,3,3.5674689914524476,5.546495341756284,4.764125783157907,-5.855971707637395,0.6620125828670769,0.0,0.784,True,129.2,
23,1,4,3.7604013901365323,3.737797010946543,4.32375494036161,-11.115117696284406,0.8962066961673442,21.92779633335721,2.173,True,108.5,
24,1,5,4.046088444007694,4.173251053895489,4.593098862044125,-6.183712863673001,1.6219757745579386,25.32584078146582,0.861,True,122.7,
25,1,6,5.153411649712691,3.1784149388901395,4.596903848676768,-7.247450572436914,0.9138710169286445,12.087912148715986,0.98,True,115.8,
26,1,7,5.830495276009613,4.442220348933274,4.641101599175223,-7.235776421568114,1.277231157960316,0.0,0.687,True,125.2,
27,1,8,3.9458319199374046,3.529051987519445,4.555401102630933,-7.225921713189255,0.31862770498066784,0.0,1.242,True,120.6,
28,1,9,3.084815178438418,3.529051987519445,4.555401102630933,-6.918043863201679,0.31862770498066784,1.6444714504916647,1.3,True,113.6,
29,1,10,3.0,4.530026023560816,3.9480900703215918,-6.448289991290224,3.5260103465204304,95.67593503241719,1.652,True,126.4,
30,1,11,4.976077854877502,3.9445325276158947,4.133840356013097,-7.526627230610651,3.5584832022152826,121.64069965542944,1.575,True,133.2,
31,1,12,3.476904922271597,4.840103909647083,3.6440275459096716,-6.7433862942941545,3.4886821192120006,79.5176012013514,1.736,True,155.9,
32,1,13,3.4195386331635422,5.093349821242661,3.808873408846863,-6.069319112711517,3.3704151016936525,104.12647811237885,1.382,True,147.2,
33,1,14,3.405362059166498,5.387679967552273,3.645642170579148,-5.327822623577008,1.5756240304945177,72.61441321168287,0.403,True,130.2,
34,1,15,3.9668992132781584,5.410368558249014,3.742417400626982,-5.0,1.3815500390934248,94.85528352991102,0.739,True,149.1,
35,1,16,5.435826009423494,4.263885101471688,4.862499925011816,-10.108734839712271,2.9180580854328326,32.607170322715916,1.195,True,135.9,
36,1,17,3.0611283268817364,4.552044326754711,3.2034716746631298,-9.301627279427922,2.103482103600843,125.13926810765714,0.706,True,135.8,
37,1,18,4.107111796104887,5.623726552795233,4.5857511796500345,-5.97094477353288,0.3957625348593687,0.20958954968991672,0.69,True,148.0,
38,1,19,3.978540941679629,4.860235909799332,4.701963881967774,-7.481171738899046,1.8951608417333712,8.910722120185397,1.06,True,136.7,
39,2,2,3.9745039651480667,4.037261014593592,4.51199524644591,-7.198040454216976,1.6157214553558108,36.14694636411162,0.918,True,145.9,
40,2,3,3.6819777697336473,3.8164677500008817,4.360099108163144,-7.349293617247883,0.14273976059000848,81.54584006755547,1.537,True,121.4,
41,2,4,3.2666574306645133,6.0,4.547001013880375,-7.480016383131867,1.4687852754674078,69.64235432940843,1.415,True,115.8,
42,2,5,3.541754623583015,5.093394425887751,5.0,-5.0,2.1654154746810717,80.5703626957715,1.149,True,148.4,
43,2,6,3.9135497444509686,5.394408920724863,3.772726689189641,-5.058266765899898,-0.08346601171502205,94.44792448071988,0.298,True,112.4,
44,2,7,3.9175745339509294,5.394694705248042,3.7525264647809813,-5.089879702683821,0.7086789947333578,96.0063650877322,0.525,True,141.0,
45,2,8,3.8094747797603694,4.702704942618878,4.221009629967261,-7.5886818095701445,0.09965650999223744,28.880308452437482,1.669,True,117.5,
46,2,9,3.842443350515305,4.183337056003337,4.275691618961173,-6.711522378138085,0.1339878604724987,27.292795475198687,1.142,True,126.4,
47,2,10,5.830495276009613,4.442220348933274,4.641101599175223,-7.235776421568114,1.277231157960316,0.0,0.764,True,124.6,
48,2,11,3.0611283268817364,4.552044326754711,3.2034716746631298,-9.301627279427922,2.103482103600843,125.13926810765714,0.505,True,147.6,
49,2,12,3.925105235807902,5.798638999285577,4.1938291906843475,-7.682972122324604,0.0437194372759665,42.72167315387469,1.823,True,126.5,
50,2,13,3.949292582761768,4.71821000775867,3.63875610960737,-7.4262555480571795,0.40039134533678816,118.2945618452016,1.249,True,120.6,
